[21:27:44][系统] 系统开始初始化！
[21:27:44][系统] 当前启动配置为：Z:\个人数据\编程\易语言编程\源码\Source 全能监控(原Source 进程监控)\1.5.0\Script\4.pms
[21:27:44][系统] 任务名：abc
[21:27:44][系统] 控制台可见：true
[21:27:44][系统] 当前运行模式：群控
[21:28:47][用户] 当前系统已使用CPU[0] 超过或达到系统设定阈值[10]
[21:28:48][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:49][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:50][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:51][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:52][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:53][用户] 当前系统已使用CPU[0] 超过或达到系统设定阈值[10]
[21:28:54][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:56][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:57][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:58][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:59][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:29:00][用户] 当前系统已使用CPU[0] 超过或达到系统设定阈值[10]
[21:29:01][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:29:02][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:29:03][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:29:04][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:29:05][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:29:06][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:29:07][用户] 当前系统已使用CPU[0] 超过或达到系统设定阈值[10]
[21:29:08][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:29:09][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:29:10][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:29:11][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:29:12][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:29:13][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:29:14][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:29:15][用户] 当前系统已使用CPU[0] 超过或达到系统设定阈值[10]
[21:29:16][用户] 当前系统已使用CPU[0] 超过或达到系统设定阈值[10]
[21:29:17][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:29:18][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:29:19][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:29:20][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:29:21][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:29:23][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:29:25][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:29:26][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:29:27][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:29:28][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:29:29][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:29:30][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:29:31][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:29:32][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
